scan_order,row_index_from_top,col_index_from_left,center_x_mm,center_y_mm,left_mm,right_mm,bottom_mm,top_mm
1,1,2,-6.0,9.0,-7.5,-4.5,7.5,10.5
2,1,3,-3.0,9.0,-4.5,-1.5,7.5,10.5
3,1,4,0.0,9.0,-1.5,1.5,7.5,10.5
4,1,5,3.0,9.0,1.5,4.5,7.5,10.5
5,1,6,6.0,9.0,4.5,7.5,7.5,10.5
6,2,7,9.0,6.0,7.5,10.5,4.5,7.5
7,2,6,6.0,6.0,4.5,7.5,4.5,7.5
8,2,5,3.0,6.0,1.5,4.5,4.5,7.5
9,2,4,0.0,6.0,-1.5,1.5,4.5,7.5
10,2,3,-3.0,6.0,-4.5,-1.5,4.5,7.5
11,2,2,-6.0,6.0,-7.5,-4.5,4.5,7.5
12,2,1,-9.0,6.0,-10.5,-7.5,4.5,7.5
13,3,1,-9.0,3.0,-10.5,-7.5,1.5,4.5
14,3,2,-6.0,3.0,-7.5,-4.5,1.5,4.5
15,3,3,-3.0,3.0,-4.5,-1.5,1.5,4.5
16,3,4,0.0,3.0,-1.5,1.5,1.5,4.5
17,3,5,3.0,3.0,1.5,4.5,1.5,4.5
18,3,6,6.0,3.0,4.5,7.5,1.5,4.5
19,3,7,9.0,3.0,7.5,10.5,1.5,4.5
20,4,7,9.0,0.0,7.5,10.5,-1.5,1.5
21,4,6,6.0,0.0,4.5,7.5,-1.5,1.5
22,4,5,3.0,0.0,1.5,4.5,-1.5,1.5
23,4,4,0.0,0.0,-1.5,1.5,-1.5,1.5
24,4,3,-3.0,0.0,-4.5,-1.5,-1.5,1.5
25,4,2,-6.0,0.0,-7.5,-4.5,-1.5,1.5
26,4,1,-9.0,0.0,-10.5,-7.5,-1.5,1.5
27,5,1,-9.0,-3.0,-10.5,-7.5,-4.5,-1.5
28,5,2,-6.0,-3.0,-7.5,-4.5,-4.5,-1.5
29,5,3,-3.0,-3.0,-4.5,-1.5,-4.5,-1.5
30,5,4,0.0,-3.0,-1.5,1.5,-4.5,-1.5
31,5,5,3.0,-3.0,1.5,4.5,-4.5,-1.5
32,5,6,6.0,-3.0,4.5,7.5,-4.5,-1.5
33,5,7,9.0,-3.0,7.5,10.5,-4.5,-1.5
34,6,7,9.0,-6.0,7.5,10.5,-7.5,-4.5
35,6,6,6.0,-6.0,4.5,7.5,-7.5,-4.5
36,6,5,3.0,-6.0,1.5,4.5,-7.5,-4.5
37,6,4,0.0,-6.0,-1.5,1.5,-7.5,-4.5
38,6,3,-3.0,-6.0,-4.5,-1.5,-7.5,-4.5
39,6,2,-6.0,-6.0,-7.5,-4.5,-7.5,-4.5
40,6,1,-9.0,-6.0,-10.5,-7.5,-7.5,-4.5
41,7,2,-6.0,-9.0,-7.5,-4.5,-10.5,-7.5
42,7,3,-3.0,-9.0,-4.5,-1.5,-10.5,-7.5
43,7,4,0.0,-9.0,-1.5,1.5,-10.5,-7.5
44,7,5,3.0,-9.0,1.5,4.5,-10.5,-7.5
45,7,6,6.0,-9.0,4.5,7.5,-10.5,-7.5
